fqn,global_combat_id,name,icon,attack_type,ablGlobalCooldownTime,mirror_fqn,exclusive_to_spec,is_interrupt,grants_absorb,its_revive,ignore_alacrity,is_passive,is_dcd,dcd_candidate
abl.agent.recuperate,814866965200896,Recuperate,spyrecuperate,None,-1.0,abl.smuggler.recuperate,,False,False,False,True,False,False,False
abl.agent.resuscitation_probe,814875555135488,Resuscitation Probe,resuscitationprobe,None,-1.0,abl.smuggler.heartrigger_patch,agent.operative.medic,False,False,True,True,False,False,False
abl.agent.rifle_shot_optimize,948041016147968,Rifle Shot,rifleshot,Ranged,-1.0,abl.smuggler.flurry_of_bolts_optimize,,False,False,False,False,False,False,False
abl.agent.series_of_shots,2299572734918656,Series of Shots,reactiveshots,Ranged,-1.0,abl.smuggler.speed_shot,,False,False,False,False,False,False,False
abl.agent.shatter_shot,987812413308928,Shatter Shot,perforatingshot,Ranged,-1.0,abl.smuggler.flourish_shot,,False,False,False,False,False,False,False
abl.agent.shield_probe,784716294782976,Shield Probe,shieldprobe,None,,abl.smuggler.defense_screen,,False,True,False,True,False,True,False
abl.agent.shiv,814884145070080,Shiv,Shiv,Tech,-1.0,abl.smuggler.blaster_whip,,False,False,False,False,False,False,False
abl.agent.skill.concealment.acid_blade,1791387909488640,Acid Blade,acidblade,Tech,-1.0,abl.smuggler.skill.scrapper.flechette_round,agent.operative.concealment,False,False,False,False,True,False,False
abl.agent.skill.concealment.calculated_frenzy,3202911731449856,Calculated Frenzy,opportunity,None,-1.0,abl.smuggler.skill.scrapper.rolling_punches,agent.operative.concealment,False,False,False,False,True,False,False
abl.agent.skill.concealment.collateral_strike,2278218157522944,Collateral Strike,stockstrike,Tech,-1.0,abl.smuggler.skill.scrapper.flying_fists,agent.operative.concealment,False,False,False,False,True,False,False
abl.agent.skill.concealment.crippling_slice,3403443754500096,Crippling Slice,abl_ag_op_crippling_slice,Tech,-1.0,abl.smuggler.skill.scrapper.shank_shot,agent.operative.concealment,False,False,False,False,False,False,False
abl.agent.skill.concealment.culling,2278269697130496,Culling,aimboost,None,-1.0,abl.smuggler.skill.scrapper.turn_the_tables,agent.operative.concealment,False,False,False,False,True,False,False
abl.agent.skill.concealment.laceration,2176972893454336,Laceration,finishingstrikes,Tech,-1.0,abl.smuggler.skill.scrapper.sucker_punch,agent.operative.concealment,False,False,False,False,False,False,False
abl.agent.skill.concealment.mods.passive.advanced_stealth,4474870591127552,Advanced Stealth,agesmu_advanced_stealth_imp,None,-1.0,abl.smuggler.skill.scrapper.mods.passive.advanced_stealth,agent.operative.concealment,False,False,False,False,True,False,False
abl.agent.skill.concealment.mods.passive.tactical_critical,4474866296160256,Tactical Critical,agesmu_taccrit_7_0_imp,None,-1.0,abl.smuggler.skill.scrapper.mods.passive.upper_critical,agent.operative.concealment,False,False,False,False,True,False,False
abl.agent.skill.concealment.mods.tier1.quick_countermeasures,4474887770996736,Quick Countermeasures,evasion,None,-1.0,abl.smuggler.skill.scrapper.mods.tier1.strategic_surrender,agent.operative.concealment,False,False,False,False,True,False,False
abl.agent.skill.concealment.mods.tier2.defensive_stance,4474844821323776,Defensive Stance,upgrade_buff,None,-1.0,abl.smuggler.skill.scrapper.mods.tier2.defensive_stance,agent.operative.concealment,False,False,False,False,True,False,False
abl.agent.skill.concealment.mods.tier2.relentless_blades,4474836231389184,Relentless Blades,upgrade_damageDirect_weapon,None,-1.0,abl.smuggler.skill.scrapper.mods.tier2.relentless_fists,agent.operative.concealment,False,False,False,False,True,False,False
abl.agent.skill.concealment.mods.tier2.roll_knife,4474840526356480,Roll Knife,upgrade_cooldown,None,-1.0,abl.smuggler.skill.scrapper.mods.tier2.rolling_fists,agent.operative.concealment,False,False,False,False,True,False,False
abl.agent.skill.concealment.mods.tier3.best_defense,4474862001192960,The Best Defense,upgrade_debuff,None,-1.0,abl.smuggler.skill.scrapper.mods.tier3.best_defense,agent.operative.concealment,False,False,False,False,True,False,False
abl.agent.skill.concealment.mods.tier3.crippling_throw,4474853411258368,Crippling Throw,abl_ag_op_crippling_slice,Tech,-1.0,abl.smuggler.skill.scrapper.mods.tier3.crippling_shot,agent.operative.concealment,False,False,False,False,False,False,False
abl.agent.skill.concealment.mods.tier3.crippling_wounds,4474857706225664,Crippling Wounds,upgrade_critChance,None,-1.0,abl.smuggler.skill.scrapper.mods.tier3.setup_shot,agent.operative.concealment,False,False,False,False,True,False,False
abl.agent.skill.concealment.shadow_operative_elite,3202950386155520,Shadow Operative Elite,fadeaway,None,-1.0,abl.smuggler.skill.scrapper.slippery_devil,agent.operative.concealment,False,False,False,False,True,False,False
abl.agent.skill.concealment.tactical_opportunity,2278196682686464,Tactical Opportunity,hiltstrike,None,-1.0,abl.smuggler.skill.scrapper.round_two,agent.operative.concealment,False,False,False,False,True,False,False
abl.agent.skill.concealment.veiled_strike,3403456639401984,Veiled Strike,abl_ag_op_veiled_strike,Tech,-1.0,abl.smuggler.skill.scrapper.bludgeon,agent.operative.concealment,False,False,False,False,False,False,False
abl.agent.skill.concealment.volatile_substance,3403448049467392,Volatile Substance,abl_ag_op_volatile_substance,Tech,-1.0,abl.smuggler.skill.scrapper.blood_boiler,agent.operative.concealment,False,False,False,False,False,False,False
abl.agent.skill.engineering.cluster_bombs,1794136688558080,Cluster Bombs,democharge,Tech,-1.0,abl.smuggler.skill.saboteur.contingency_charges,agent.sniper.engineering,False,False,False,False,True,False,False
abl.agent.skill.engineering.electrified_conduit,4085488856072192,Electrified Conduit,abl_ag_sn_conductive_conduit,Tech,-1.0,abl.smuggler.skill.saboteur.sow_chaos,agent.sniper.engineering,False,False,False,False,True,False,False
abl.agent.skill.engineering.electrified_railgun,2302776780521472,Electrified Railgun,electrostaves,Tech,-1.0,abl.smuggler.skill.saboteur.blazing_speed,agent.sniper.engineering,False,False,False,False,True,False,False
abl.agent.skill.engineering.emp_discharge,3394870999777280,EMP Discharge,abl_ag_sn_EMPDischarge,Tech,-1.0,abl.smuggler.skill.saboteur.sabotage,agent.sniper.engineering,False,False,False,False,False,False,False
abl.agent.skill.engineering.energy_overrides,2302746715750400,Energy Overrides,ionclip,None,-1.0,abl.smuggler.skill.saboteur.seize_the_moment,agent.sniper.engineering,False,False,False,False,True,False,False
abl.agent.skill.engineering.engineers_tool_belt,2302609276796928,Engineer's Tool Belt,utilitybeltwithmanyslots,None,-1.0,abl.smuggler.skill.saboteur.saboteurs_utility_belt,agent.sniper.engineering,False,False,False,False,True,False,False
abl.agent.skill.engineering.explosive_probe,3394789395398656,Explosive Probe,abl_sm_gs_extra_shrapnel,Tech,-1.0,abl.smuggler.skill.saboteur.explosive_charge,agent.sniper.engineering,False,False,False,False,False,False,False
abl.agent.skill.engineering.imperial_methodology,2302695176142848,Imperial Methodology,shrapnelburst,None,-1.0,abl.smuggler.skill.saboteur.insurrection,agent.sniper.engineering,False,False,False,False,True,False,False
abl.agent.skill.engineering.interrogation_probe,879630777057280,Interrogation Probe,sonicprobe,Tech,-1.0,abl.smuggler.skill.saboteur.shock_charge,agent.sniper.engineering,False,False,False,False,False,False,False
abl.agent.skill.engineering.inventive_interrogation_techniques,2302720945946624,Inventive Interrogation Techniques,surveyorskit,None,-1.0,abl.smuggler.skill.saboteur.sapping_charge,agent.sniper.engineering,False,False,False,False,True,False,False
abl.agent.skill.engineering.mods.passive.efficient_systems,4476764671705088,Efficient Systems,agessmu_eff_systems_imp,None,-1.0,abl.smuggler.skill.saboteur.mods.passive.hothead,agent.sniper.engineering,False,False,False,False,True,False,False
abl.agent.skill.engineering.mods.passive.targeting_beam,4476768966672384,Targeting Beam,agesmu_lazer_targeting_imp,None,-1.0,abl.smuggler.skill.saboteur.mods.passive.kill_streak,agent.sniper.engineering,False,False,False,False,True,False,False
abl.agent.skill.engineering.mods.tier1.evasive_maneuvers,4476773261639680,Evasive Maneuvers,abl_ag_sn_countermeasures,None,-1.0,abl.smuggler.skill.saboteur.mods.tier1.dodge_stance,agent.sniper.engineering,False,False,False,False,True,False,False
abl.agent.skill.engineering.mods.tier2.explosive_refund,4476777556606976,Explosive Reset,upgrade_cooldown,None,-1.0,abl.smuggler.skill.saboteur.mods.tier2.hard_reset,agent.sniper.engineering,False,False,False,False,True,False,False
abl.agent.skill.engineering.mods.tier2.impairing_blast,4476781851574272,System Kick,upgrade_debuff,None,-1.0,abl.smuggler.skill.saboteur.mods.tier2.trick_skip,agent.sniper.engineering,False,False,False,False,True,False,False
abl.agent.skill.engineering.mods.tier2.lazer_targeting,4476786146541568,Lazer Targeting,upgrade_damageDirect_tech,None,-1.0,abl.smuggler.skill.saboteur.mods.tier2.sequential_targeting,agent.sniper.engineering,False,False,False,False,True,False,False
abl.agent.skill.engineering.mods.tier3.calculated_measures,4476790441508864,Calculated Measures,upgrade_build_energy,None,-1.0,abl.smuggler.skill.saboteur.mods.tier3.calculated_measures,agent.sniper.engineering,False,False,False,False,True,False,False
abl.agent.skill.engineering.mods.tier3.critical_interrogation,4476794736476160,Critical Interrogation,upgrade_critChance,None,-1.0,abl.smuggler.skill.saboteur.mods.tier3.aim_assist,agent.sniper.engineering,False,False,False,False,True,False,False
abl.agent.skill.engineering.mods.tier3.multinterrogate,4476799031443456,Shocking Blast,upgrade_damageSustained,None,-1.0,abl.smuggler.skill.saboteur.mods.tier3.shocking_blast,agent.sniper.engineering,False,False,False,False,True,False,False
abl.agent.skill.engineering.plasma_probe,993073748246528,Plasma Probe,plasmaprobe,Tech,-1.0,abl.smuggler.skill.saboteur.incendiary_grenade,agent.sniper.engineering,False,False,False,False,False,False,False
abl.agent.skill.engineering.scatter_bombs,3199136455196672,Scatter Bombs,scatterbombs,Tech,-1.0,abl.smuggler.skill.saboteur.scatter_bombs,agent.sniper.engineering,False,False,False,False,True,False,False
abl.agent.skill.engineering.systems_upgrade,4477426096668672,Systems Upgrade,Black_Panel_Buttons_6_0,None,-1.0,abl.smuggler.skill.saboteur.sequence_break,agent.sniper.engineering,False,False,False,False,True,False,False
abl.agent.skill.lethality.combat_stims,2513359027044352,Combat Stims,stimulants,None,-1.0,abl.smuggler.skill.ruffian.pugnacious,agent.operative.lethality,False,False,False,False,True,False,False
abl.agent.skill.lethality.corrosive_assault,3440822854877184,Corrosive Assault,abl_ag_op_corrosive_assault,Ranged,-1.0,abl.smuggler.skill.ruffian.brutal_shots,agent.operative.lethality,False,False,False,False,False,False,False
abl.agent.skill.lethality.corrosive_grenade,1703989619982336,Corrosive Grenade,stickygrenade,Tech,-1.0,abl.smuggler.skill.dirty_fighting.shrap_bomb,,False,False,False,False,False,False,False
abl.agent.skill.lethality.fatality,3202769997529088,Fatality,focusedsights,None,-1.0,abl.smuggler.skill.ruffian.unfair_advantage,agent.operative.lethality,False,False,False,False,True,False,False
abl.agent.skill.lethality.lethal_purpose,2291554030977024,Lethal Purpose,assassinstraining,None,-1.0,abl.smuggler.skill.dirty_fighting.fighting_spirit,,False,False,False,False,True,False,False
abl.agent.skill.lethality.lethal_strike,3403731517308928,Lethal Strike,abl_ag_op_lethal_strike,Tech,-1.0,abl.smuggler.skill.ruffian.point_blank_shot,agent.operative.lethality,True,False,False,False,False,False,False
abl.agent.skill.lethality.mods.passive.tactical_offense,4474952195506176,Tactical Offense,agesmu_tac_stims_imp,None,-1.0,abl.smuggler.skill.ruffian.mods.passive.leveraged_offense,agent.operative.lethality,False,False,False,False,True,False,False
abl.agent.skill.lethality.mods.passive.tactical_stims,4474956490473472,Tactical Stims,agesmu_stim_burst_7_0_imp,None,-1.0,abl.smuggler.skill.ruffian.mods.passive.artful_cunning,agent.operative.lethality,False,False,False,False,True,False,False
abl.agent.skill.lethality.mods.tier1.sly_countermeasures,4474896360931328,Sly Countermeasures,evasion,None,-1.0,abl.smuggler.skill.ruffian.mods.tier1.sly_surrender,agent.operative.lethality,False,False,False,False,True,False,False
abl.agent.skill.lethality.mods.tier2.corrosive_impair,4474909245833216,Corrosive Impair,upgrade_damageDirect_weapon,None,-1.0,abl.smuggler.skill.ruffian.mods.tier2.brutal_impair,agent.operative.lethality,False,False,False,False,True,False,False
abl.agent.skill.lethality.mods.tier2.corrosive_return,4474917835767808,Corrosive Return,upgrade_build_energy,None,-1.0,abl.smuggler.skill.ruffian.mods.tier2.brutal_return,agent.operative.lethality,False,False,False,False,True,False,False
abl.agent.skill.lethality.mods.tier2.penetrating_strategies,4474904950865920,Penetrating Strategies,upgrade_damageSustained,None,-1.0,abl.smuggler.skill.ruffian.mods.tier2.penetrating_strategies,agent.operative.lethality,False,False,False,False,True,False,False
abl.agent.skill.lethality.mods.tier3.corrosive_defense,4474939310604288,Corrosive Defense,upgrade_damageDirect_tech,None,-1.0,abl.smuggler.skill.ruffian.mods.tier3.shrap_defense,agent.operative.lethality,False,False,False,False,True,False,False
abl.agent.skill.lethality.mods.tier3.corrosive_refund,4474930720669696,Corrosive Refund,upgrade_lessCost_energy,None,-1.0,abl.smuggler.skill.ruffian.mods.tier3.explosive_refund,agent.operative.lethality,False,False,False,False,True,False,False
abl.agent.skill.lethality.mods.tier3.critical_grenade,4474935015636992,Critical Grenade,upgrade_critChance,None,-1.0,abl.smuggler.skill.ruffian.mods.tier3.critical_bomb,agent.operative.lethality,False,False,False,False,True,False,False
abl.agent.skill.lethality.quickening,3202812947202048,Quickening,trenchhealer,None,-1.0,abl.smuggler.skill.ruffian.scurry,agent.operative.lethality,False,False,False,False,True,False,False
abl.agent.skill.lethality.toxic_blast,3440831444811776,Toxic Blast,abl_ag_op_toxic_blast,Ranged,-1.0,abl.smuggler.skill.ruffian.sanguinary_shot,agent.operative.lethality,False,False,False,False,False,False,False
abl.agent.skill.marksmanship.ambush,3394042071089152,Ambush,ambush,Ranged,-1.0,abl.smuggler.skill.sharpshooter.aimed_shot,agent.sniper.marksmanship,False,False,False,False,False,False,False
abl.agent.skill.marksmanship.double_laze,4477219938238464,Double Laze,rifleflashguard,None,-1.0,abl.smuggler.skill.sharpshooter.double_luck,agent.sniper.marksmanship,False,False,False,False,True,False,False
abl.agent.skill.marksmanship.finish_the_job,3909343657328640,Finish the Job,abl_ag_sn_finish_the_job,None,-1.0,abl.smuggler.skill.sharpshooter.stay_down,agent.sniper.marksmanship,False,False,False,False,True,False,False
abl.agent.skill.marksmanship.followthrough,2300994369093632,Followthrough,followthrough,Ranged,-1.0,abl.smuggler.skill.sharpshooter.trickshot,agent.sniper.marksmanship,False,False,False,False,False,False,False
abl.agent.skill.marksmanship.honed_shots,3394703496052736,Honed Shots,abl_agsm_sngs_honed_shot,None,-1.0,abl.smuggler.skill.sharpshooter.honed_shots,agent.sniper.marksmanship,False,False,False,False,True,False,False
abl.agent.skill.marksmanship.marksmans_finesse,3651366446694400,Marksman's Finesse,snipe_pass_markmans_finesse,None,-1.0,abl.smuggler.skill.sharpshooter.sharpshooters_touch,agent.sniper.marksmanship,False,False,False,False,True,False,False
abl.agent.skill.marksmanship.mods.passive.ballistic_redistribution,4476369534713856,Ballistic Redistribution,agesmu_bal_redistribute_imp,None,-1.0,abl.smuggler.skill.sharpshooter.mods.passive.ballistic_redistribution,agent.sniper.marksmanship,False,False,False,False,True,False,False
abl.agent.skill.marksmanship.mods.passive.lazer_focus,4476365239746560,Lazer Focus,agesmu_focused_laze_imp,None,-1.0,abl.smuggler.skill.sharpshooter.mods.passive.lucky_thoughts,agent.sniper.marksmanship,False,False,False,False,True,False,False
abl.agent.skill.marksmanship.mods.tier1.evasive_maneuver,4476330880008192,Evasive Maneuvers,abl_ag_sn_countermeasures,None,-1.0,abl.smuggler.skill.sharpshooter.mods.tier1.dodge_stance,agent.sniper.marksmanship,False,False,False,False,True,False,False
abl.agent.skill.marksmanship.mods.tier2.relentless_ambush,4476335174975488,Relentless Ambush,upgrade_build_energy,None,-1.0,abl.smuggler.skill.sharpshooter.mods.tier2.relentless_shots,agent.sniper.marksmanship,False,False,False,False,True,False,False
abl.agent.skill.marksmanship.mods.tier2.shrap_shot,4476343764910080,Shrap Shot,upgrade_increaseTargets,None,-1.0,abl.smuggler.skill.sharpshooter.mods.tier2.shrap_shot,agent.sniper.marksmanship,False,False,False,False,True,False,False
abl.agent.skill.marksmanship.mods.tier2.targeted_ambush,4476339469942784,Targeted Ambush,upgrade_damageDirect_weapon,None,-1.0,abl.smuggler.skill.sharpshooter.mods.tier2.hotshot,agent.sniper.marksmanship,False,False,False,False,True,False,False
abl.agent.skill.marksmanship.mods.tier3.efficient_shots,4476360944779264,Energy Barrel,upgrade_critChance,None,-1.0,abl.smuggler.skill.sharpshooter.mods.tier3.energy_barrels,agent.sniper.marksmanship,False,False,False,False,True,False,False
abl.agent.skill.marksmanship.mods.tier3.penetrating_rounds,4476352354844672,Penetrating Rounds,upgrade_debuff,None,-1.0,abl.smuggler.skill.sharpshooter.mods.tier3.piercing_rounds,agent.sniper.marksmanship,False,False,False,False,True,False,False
abl.agent.skill.marksmanship.mods.tier3.retargeting,4476356649811968,Retargeting,upgrade_cooldown,None,-1.0,abl.smuggler.skill.sharpshooter.mods.tier3.lucky_draw,agent.sniper.marksmanship,False,False,False,False,True,False,False
abl.agent.skill.marksmanship.muzzle_fluting,3198934591733760,Muzzle Fluting,rifleflashguard,None,-1.0,abl.smuggler.skill.sharpshooter.smoking_barrel,agent.sniper.marksmanship,False,False,False,False,True,False,False
abl.agent.skill.marksmanship.penetrating_blasts,3394699201085440,Penetrating Blasts,abl_ag_sn_penetrating_blast,Ranged,-1.0,abl.smuggler.skill.sharpshooter.penetrating_rounds,agent.sniper.marksmanship,False,False,False,False,False,False,False
abl.agent.skill.marksmanship.recoil_control,2301071678504960,Recoil Control,boltaction,None,-1.0,abl.smuggler.skill.sharpshooter.recoil_control,agent.sniper.marksmanship,False,False,False,False,True,False,False
abl.agent.skill.marksmanship.sniper_volley,2301299311771648,Sniper Volley,abl_ag_sn_SniperVolley,None,,abl.smuggler.skill.sharpshooter.burst_volley,agent.sniper.marksmanship,False,False,False,False,False,False,False
abl.agent.skill.marksmanship.zeroing_shots,3255215843180544,Zeroing Shots,iaassassin,None,-1.0,abl.smuggler.skill.sharpshooter.charged_aim,agent.sniper.marksmanship,False,False,False,False,True,False,False
abl.agent.skill.medic.curative_jolt,4085828158488576,Curative Jolt,abl_ag_op_curative_swell,None,-1.0,abl.smuggler.skill.sawbones.bootlegged_remedy,agent.operative.medic,False,False,False,False,True,False,False
abl.agent.skill.medic.incisive_action,2279639791697920,Incisive Action,cyberneticexperiement,None,-1.0,abl.smuggler.skill.sawbones.exploratory_surgery,agent.operative.medic,False,False,False,False,True,False,False
abl.agent.skill.medic.kolto_injection,3401961990782976,Kolto Injection,koltoinfusion,None,-1.0,abl.smuggler.skill.sawbones.underworld_medicine,agent.operative.medic,False,False,False,False,False,False,False
abl.agent.skill.medic.kolto_waves,3402082249867264,Kolto Waves,abl_ag_op_kolto_waves,None,-1.0,abl.smuggler.skill.sawbones.kolto_waves,agent.operative.medic,False,False,False,False,False,False,False
abl.agent.skill.medic.medical_engineering,2280052108558336,Medical Engineering,luminescentcells1,None,-1.0,abl.smuggler.skill.sawbones.medpac_mastery,agent.operative.medic,False,False,False,False,True,False,False
abl.agent.skill.medic.mods.passive.stim_burst,4474995145179136,Stim Burst,agesmu_stim_burst_7_0_imp,None,-1.0,abl.smuggler.skill.sawbones.mods.passive.in_the_zone,agent.operative.medicine,False,False,False,False,True,False,False
abl.agent.skill.medic.mods.passive.tactical_effectiveness,4474999440146432,Tactical Effectiveness,agesmu_tac_stims_imp,None,-1.0,abl.smuggler.skill.sawbones.mods.passive.healers_edge,agent.operative.medicine,False,False,False,False,True,False,False
abl.agent.skill.medic.mods.tier1.clever_countermeasures,4474965080408064,Clever Countermeasures,evasion,None,-1.0,abl.smuggler.skill.sawbones.mods.tier1.clever_surrender,agent.operative.medicine,False,False,False,False,True,False,False
abl.agent.skill.medic.mods.tier2.defensive_injection,4474977965309952,Reactive Substance,upgrade_buff,None,-1.0,abl.smuggler.skill.sawbones.mods.tier2.defensive_medicine,agent.operative.medicine,False,False,False,False,True,False,False
abl.agent.skill.medic.mods.tier2.kolto_burst,4474969375375360,Kolto Burst,upgrade_increaseTargets,None,-1.0,abl.smuggler.skill.sawbones.mods.tier2.medical_burst,agent.operative.medicine,False,False,False,False,True,False,False
abl.agent.skill.medic.mods.tier2.kolto_stim,4474973670342656,Kolto Stim,upgrade_lessCost_AP,None,-1.0,abl.smuggler.skill.sawbones.mods.tier2.underworld_tactics,agent.operative.medicine,False,False,False,False,True,False,False
abl.agent.skill.medic.mods.tier3.critical_nanotech,4474990850211840,Critical Nanotech,upgrade_critChance,None,-1.0,abl.smuggler.skill.sawbones.mods.tier3.critical_cloud,agent.operative.medicine,False,False,False,False,True,False,False
abl.agent.skill.medic.mods.tier3.nano_mark,4474982260277248,Nano Mark,upgrade_damageSustained,None,-1.0,abl.smuggler.skill.sawbones.mods.tier3.kolto_mark,agent.operative.medicine,False,False,False,False,True,False,False
abl.agent.skill.medic.mods.tier3.nanotech_stim,4474986555244544,Nanotech Stim,upgrade_cooldown,None,-1.0,abl.smuggler.skill.sawbones.mods.tier3.nutrient_tech,agent.operative.medicine,False,False,False,False,True,False,False
abl.agent.skill.medic.patient_studies,2279936144441344,Patient Studies,imperialdatapad,None,-1.0,abl.smuggler.skill.sawbones.patient_studies,agent.operative.medic,False,False,False,False,True,False,False
abl.agent.skill.medic.recuperative_nano_tech,815232037421056,Recuperative Nanotech,recuperativenanotech,None,-1.0,abl.smuggler.skill.sawbones.kolto_cloud,agent.operative.medic,False,False,False,False,False,False,False
abl.agent.skill.medic.surgical_precision,2280533144895488,Surgical Precision,surveyorskit,None,-1.0,abl.smuggler.skill.sawbones.emergent_emergencies,agent.operative.medic,False,False,False,False,True,False,False
abl.agent.skill.medic.surgical_probe,815240627355648,Surgical Probe,advancedmedicalprobe,None,-1.0,abl.smuggler.skill.sawbones.emergency_medpac,agent.operative.medic,False,False,False,False,False,False,False
abl.agent.skill.medic.tox_screen,2280447245549568,Tox Screen,cyborgveteran,None,-1.0,abl.smuggler.skill.sawbones.psych_meds,agent.operative.medic,False,False,False,False,True,False,False
abl.agent.skill.medic.toxic_haze_ranged,3991184259153920,Toxic Haze,abl_sp_toxic_haze,Tech,-1.0,abl.smuggler.skill.sawbones.bushwhack_ranged,agent.operative.medic,False,False,False,False,False,False,False
abl.agent.skill.mods.tier1.curbing_strategies,4474810461585408,Curbing Strategies,abl_ag_op_noxious_knives,None,-1.0,,,False,False,False,False,True,False,False
abl.agent.skill.mods.tier1.shatter_snipe,4476429664256000,Shatter Snipe,snipe,None,-1.0,,,False,False,False,False,True,False,False
abl.agent.skill.utility.advanced_cloaking,3403551128682496,Advanced Cloaking,coveredescape,None,-1.0,abl.smuggler.skill.utility.flee_the_scene,,False,False,False,False,True,False,False
abl.agent.skill.utility.ballistic_damper,3394012006318080,Ballistic Dampers,durablearmors,None,-1.0,abl.smuggler.skill.utility.ballistic_damper,,False,True,False,False,True,False,False
